iter	Passed	Remaining
405	6810	1576
406	6828	1560
407	6845	1543
408	6862	1526
409	6880	1510
410	6897	1493
411	6913	1476
412	6930	1459
413	6948	1443
414	6965	1426
415	6983	1410
416	6999	1393
417	7017	1376
418	7034	1359
419	7051	1343
420	7068	1326
421	7085	1309
422	7101	1292
423	7117	1275
424	7135	1259
425	7151	1242
426	7168	1225
427	7187	1209
428	7204	1192
429	7220	1175
430	7238	1158
431	7256	1142
432	7272	1125
433	7289	1108
434	7306	1091
435	7323	1075
436	7340	1058
437	7356	1041
438	7374	1024
439	7391	1007
440	7408	991
441	7424	974
442	7441	957
443	7457	940
444	7474	923
445	7491	907
446	7508	890
447	7525	873
448	7542	856
449	7559	839
450	7577	823
451	7594	806
452	7611	789
453	7627	772
454	7644	756
455	7661	739
456	7677	722
457	7694	705
458	7711	688
459	7729	672
460	7747	655
461	7765	638
462	7782	621
463	7800	605
464	7816	588
465	7834	571
466	7852	554
467	7868	538
468	7885	521
469	7904	504
470	7921	487
471	7937	470
472	7955	454
473	7972	437
474	7989	420
475	8007	403
476	8024	386
477	8041	370
478	8059	353
479	8076	336
480	8094	319
481	8112	302
482	8128	286
483	8145	269
484	8161	252
485	8178	235
486	8197	218
487	8215	202
488	8232	185
489	8249	168
490	8267	151
491	8284	134
492	8301	117
493	8318	101
494	8335	84
495	8352	67
496	8369	50
497	8386	33
498	8403	16
499	8419	0
